,Affectionate_with_Family,Amount_of_Shedding,Easy_to_Groom,General_Health,Intelligence,Kid_Friendly,Pet_Friendly,Potential_for_Playfulness,Friendly_Toward_Strangers,Tendency_to_Vocalize,Breed
0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0,Abyssinian
1,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,American Bobtail
2,5.0,4.0,4.0,5.0,0.0,4.0,4.0,4.0,4.0,5.0,American Curl
3,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,0.0,American Shorthair
4,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,0.0,American Wirehair
5,4.0,3.0,4.0,2.0,0.0,4.0,4.0,4.0,4.0,1.0,Balinese
6,5.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,0.0,2.0,Bengal Cats
7,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,0.0,4.0,Birman
8,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Bombay
9,3.0,3.0,4.0,4.0,0.0,4.0,0.0,2.0,4.0,4.0,British Shorthair
10,5.0,2.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,0.0,Burmese
11,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,0.0,0.0,Burmilla
12,3.0,4.0,2.0,4.0,0.0,3.0,4.0,3.0,3.0,5.0,Chartreux
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chinese Li Hua
14,5.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,0.0,1.0,Colorpoint Shorthair
15,5.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0,Cornish Rex
16,5.0,4.0,2.0,3.0,4.0,3.0,3.0,0.0,4.0,2.0,Cymric
17,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,3.0,Devon Rex
18,5.0,3.0,4.0,4.0,0.0,4.0,3.0,4.0,2.0,2.0,Egyptian Mau
19,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,European Burmese
20,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,5.0,Exotic
21,5.0,3.0,5.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,Havana Brown
22,4.0,5.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,Himalayan
23,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,1.0,Japanese Bobtail
24,5.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,Javanese
25,5.0,1.0,5.0,4.0,0.0,3.0,3.0,0.0,2.0,5.0,Korat
26,4.0,2.0,4.0,4.0,0.0,4.0,4.0,5.0,4.0,5.0,LaPerm
27,3.0,4.0,4.0,3.0,0.0,5.0,5.0,4.0,2.0,4.0,Maine Coon
28,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,Manx
29,4.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,0.0,Nebelung
30,2.0,4.0,2.0,2.0,0.0,4.0,4.0,0.0,2.0,4.0,Norwegian Forest
31,4.0,2.0,4.0,3.0,4.0,4.0,3.0,0.0,4.0,2.0,Ocicat
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Oriental
33,3.0,5.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,Persian
34,5.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,Pixie-Bob
35,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,0.0,Ragamuffin
36,5.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,0.0,4.0,Ragdoll Cats
37,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,0.0,Russian Blue
38,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,Savannah
39,5.0,3.0,2.0,3.0,4.0,5.0,4.0,3.0,0.0,0.0,Scottish Fold
40,4.0,4.0,2.0,3.0,0.0,5.0,4.0,4.0,0.0,2.0,Selkirk Rex
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Siamese Cat
42,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,Siberian
43,5.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,Singapura
44,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,Snowshoe
45,5.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,0.0,Somali
46,5.0,1.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,0.0,Sphynx
47,5.0,2.0,4.0,2.0,5.0,5.0,4.0,5.0,3.0,1.0,Tonkinese
48,5.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,0.0,Turkish Angora
49,3.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,0.0,Turkish Van
